,Total Operating income,Net Sales,Other Operating Income,Total Expenditure (Excl Depreciation),Raw Material Cost,Purchase of Finished goods,(Increase) / Decrease In Stocks,Employee Cost,Power Cost,Manufacturing Expenses,Selling and Distribution Expenses,Other Expenses,Operating Profit (PBDIT) excl Other Income,Other Income,Operating Profit (PBDIT),Interest,Exceptional Items,Gross Profit (PBDT),Depreciation,Profit Before Tax,Tax,Provisions and contingencies,Profit After Tax,Extraordinary Items,Prior Period Expenses,Other Adjustments,Net Profit,Equity Capital,Face Value (IN RS),Reserves,Earnings per share (EPS),Diluted Earnings per share,Operating Profit Margin (Excl OI),Gross Profit Margin,PAT Margin,Public Share Holdings (%),Pledged Promotor Holding (%),Stock Price
Jun'22,8004.97,7768.89,236.08,6707.95,5435.38,468.39,-126.13,379.59,0.0,0.0,0.0,550.72,1297.02,319.32,1616.34,4.34,0.0,1612.0,67.33,1544.67,371.37,0.0,1173.3,0.0,0.0,0.0,1173.3,289.37,10.0,0.0,40.55,40.6,0.16699999999999998,0.2075,0.151,0.0,0.0,3890.842
Mar'22,7974.84,7728.13,246.71,6609.24,5326.66,558.33,-149.26,305.85,0.0,0.0,0.0,567.66,1365.6,288.86,1654.46,2.88,315.28,1966.86,69.67,1897.19,428.24,0.0,1468.95,0.0,0.0,0.0,1468.95,289.37,10.0,0.0,50.76,50.8,0.1767,0.2545,0.1901,0.0,0.0,3604.211
Dec'21,9021.65,8805.5,216.15,7649.51,6036.97,540.72,165.56,339.85,0.0,0.0,0.0,566.41,1372.14,272.76,1644.9,1.79,0.0,1643.11,69.83,1573.28,359.09,0.0,1214.19,0.0,0.0,0.0,1214.19,289.37,10.0,0.0,41.96,42.0,0.1558,0.1866,0.1379,0.0,0.0,3365.8320000000003
Sep'21,8762.18,8385.78,376.4,7361.06,5926.15,488.73,41.58,351.56,0.0,0.0,0.0,553.04,1401.12,318.32,1719.44,1.7,0.0,1717.74,65.6,1652.14,377.59,0.0,1274.55,0.0,0.0,0.0,1274.55,289.37,10.0,0.0,44.05,44.1,0.1671,0.2048,0.152,0.0,0.0,3409.079
Jun'21,7386.04,7216.57,169.47,6266.26,4880.1,384.2,130.08,361.54,0.0,0.0,0.0,510.34,1119.78,329.3,1449.08,2.29,0.0,1446.79,64.07,1382.72,321.54,0.0,1061.18,0.0,0.0,0.0,1061.18,289.37,10.0,0.0,36.67,36.7,0.1552,0.2005,0.147,0.0,0.0,3692.113
Mar'21,8596.1,8412.8,183.3,7072.0,5845.38,597.76,-266.46,306.95,0.0,0.0,0.0,588.37,1524.1,283.6,1807.7,2.04,0.0,1805.66,66.17,1739.49,407.42,0.0,1332.07,0.0,0.0,0.0,1332.07,289.37,10.0,0.0,46.03,46.1,0.1812,0.2146,0.1583,0.0,0.0,3699.365
Dec'20,8909.88,8730.1,179.78,7180.26,5993.05,486.47,-171.28,317.18,0.0,0.0,0.0,554.84,1729.62,369.18,2098.8,1.02,0.0,2097.78,65.0,2032.78,476.5,0.0,1556.28,0.0,0.0,0.0,1556.28,289.37,10.0,0.0,53.78,53.8,0.1981,0.2403,0.1783,0.0,0.0,3576.375
Sep'20,7155.86,7041.48,114.38,5889.63,4773.74,347.06,-62.67,324.56,0.0,0.0,0.0,506.94,1266.23,285.8,1552.03,2.65,0.0,1549.38,64.32,1485.06,346.86,0.0,1138.2,0.0,0.0,0.0,1138.2,289.37,10.0,0.0,39.33,39.3,0.1798,0.22,0.1616,0.0,0.0,2907.119
Jun'20,3079.24,2948.52,130.72,2670.71,1695.92,89.75,280.93,337.27,0.0,0.0,0.0,266.84,408.53,337.88,746.41,0.95,0.0,745.46,63.79,681.67,153.63,0.0,528.04,0.0,0.0,0.0,528.04,289.37,10.0,0.0,18.25,18.3,0.1386,0.2528,0.1791,0.0,0.0,2769.485
Mar'20,6815.85,6610.9,204.95,5563.09,4490.52,411.08,-236.33,342.08,0.0,0.0,0.0,555.74,1252.76,532.65,1785.41,0.91,0.0,1784.5,63.27,1721.23,410.94,0.0,1310.29,0.0,0.0,0.0,1310.29,289.37,10.0,0.0,45.28,45.3,0.1895,0.2699,0.1982,0.0,0.0,2404.605
Dec'19,7639.66,7436.42,203.24,6272.45,4727.65,437.21,177.38,348.24,0.0,0.0,0.0,581.97,1367.21,366.22,1733.43,0.47,0.0,1732.96,61.68,1671.28,409.68,0.0,1261.6,0.0,0.0,0.0,1261.6,289.37,10.0,0.0,43.6,43.6,0.1839,0.233,0.1697,0.0,0.0,2554.514
Sep'19,7707.32,7499.21,208.11,6429.27,5265.18,400.21,-228.39,338.35,0.0,0.0,0.0,653.92,1278.05,393.44,1671.49,1.24,0.0,1670.25,61.34,1608.91,206.49,0.0,1402.42,0.0,0.0,0.0,1402.42,289.37,10.0,0.0,48.46,48.5,0.1704,0.2227,0.187,0.0,0.0,2816.16
Jun'19,7565.01,7565.01,0.0,6557.61,5001.27,338.17,224.33,360.54,0.0,0.0,0.0,633.3,1007.4,441.25,1639.46,0.54,0.0,1638.92,60.14,1578.78,453.11,0.0,1125.67,0.0,0.0,0.0,1125.67,289.37,10.0,0.0,38.9,38.9,0.1584,0.2166,0.1488,0.0,0.0,2440.558
Mar'19,7420.54,7225.2,195.34,6193.57,5028.67,401.84,-99.26,312.56,0.0,0.0,0.0,549.76,1226.97,368.01,1594.98,0.29,342.0,1936.69,60.83,1875.86,570.27,0.0,1305.59,0.0,0.0,0.0,1305.59,289.37,10.0,0.0,45.12,45.1,0.1698,0.268,0.1807,0.0,0.0,2581.262
Dec'18,7409.36,7243.07,166.29,6253.29,5033.36,409.05,-45.25,316.86,0.0,547.89,0.0,-8.62,1156.07,469.98,1626.05,3.57,0.0,1622.48,63.38,1559.1,457.22,0.0,1101.88,0.0,0.0,0.0,1101.88,289.37,10.0,0.0,38.08,38.1,0.156,0.21899999999999997,0.1487,0.0,0.0,2442.663
Sep'18,8036.34,7831.79,204.55,6643.84,5416.24,413.93,-46.33,311.94,0.0,-0.98,0.0,549.04,1392.5,356.47,1748.97,0.31,0.0,1748.66,71.51,1652.65,500.17,0.0,1152.48,0.0,0.0,0.0,1152.48,289.37,10.0,0.0,39.83,39.8,0.1778,0.2233,0.1472,0.0,0.0,2329.455
Jun'18,7464.89,7267.19,197.7,6125.97,4805.33,354.56,134.42,314.04,0.0,521.98,0.0,-4.36,1338.92,346.91,1685.83,0.31,0.0,1685.52,69.97,1615.55,500.32,0.0,1115.23,0.0,0.0,0.0,1115.23,289.37,10.0,0.0,38.54,38.5,0.1794,0.2258,0.1494,0.0,0.0,2440.036
Mar'18,6788.42,6650.81,137.61,5458.06,4488.57,338.95,-130.58,266.97,0.0,501.76,0.0,-7.61,1330.36,351.54,1681.9,0.3,0.0,1681.6,87.89,1593.71,513.84,0.0,1079.87,0.0,0.0,0.0,1079.87,289.37,10.0,0.0,37.32,37.3,0.196,0.2477,0.1591,0.0,0.0,2423.458
Dec'17,6387.64,6246.23,141.41,5137.89,3970.97,404.4,-20.7,265.19,0.0,525.88,0.0,-7.85,1249.75,208.57,1458.32,0.3,0.0,1458.02,74.68,1383.34,430.9,0.0,952.44,0.0,0.0,0.0,952.44,289.37,10.0,0.0,32.91,32.9,0.1957,0.2283,0.1491,0.0,0.0,2643.616
Sep'17,6566.43,6461.3,105.13,5268.04,4116.7,325.97,106.54,264.39,0.0,471.97,0.0,-17.53,1298.39,296.44,1594.83,0.47,0.0,1594.36,76.97,1517.39,405.53,0.0,1111.86,0.0,0.0,0.0,1111.86,289.37,10.0,0.0,38.42,38.4,0.1977,0.2428,0.1693,0.0,0.0,2759.8109999999997
Jun'17,5854.19,5740.3,113.89,4915.84,3422.92,331.93,54.42,272.54,0.0,426.77,0.0,407.26,938.35,457.28,1395.63,0.24,-32.0,1363.39,75.26,1288.13,364.2,0.0,923.93,0.0,0.0,0.0,923.93,289.37,10.0,0.0,31.93,31.9,0.1603,0.2329,0.1578,0.0,0.0,2449.19
Mar'17,5212.83,5120.54,92.29,4306.85,3019.53,379.92,-79.18,227.32,0.0,451.4,0.0,307.86,905.98,293.6,1199.58,0.24,0.0,1199.34,75.7,1123.64,321.82,0.0,801.82,0.0,0.0,0.0,801.82,289.37,10.0,0.0,27.71,27.7,0.1738,0.2301,0.1538,0.0,0.0,2395.764
Dec'16,5354.13,5262.8,91.33,4310.22,2992.32,323.71,68.02,242.72,0.0,400.88,0.0,282.57,1043.91,319.29,1363.2,0.26,0.0,1362.94,77.17,1285.77,361.15,0.0,924.62,0.0,0.0,0.0,924.62,289.37,10.0,0.0,31.95,32.0,0.195,0.2546,0.1727,0.0,0.0,2341.631
Sep'16,6432.32,6327.12,105.2,5136.19,3750.47,340.57,-33.98,258.72,0.0,448.23,0.0,372.18,1296.13,342.02,1638.15,0.68,0.0,1637.47,76.95,1560.52,437.77,0.0,1122.75,0.0,0.0,0.0,1122.75,289.37,10.0,0.0,38.8,38.8,0.2015,0.2546,0.1745,0.0,0.0,2274.968
Jun'16,6088.75,5984.41,104.34,4912.42,3523.04,338.27,1.46,268.31,0.0,444.87,0.0,336.47,1176.33,267.06,1443.39,0.22,0.0,1443.17,77.47,1365.7,387.33,0.0,978.37,0.0,0.0,0.0,978.37,289.37,10.0,0.0,33.81,33.8,0.1932,0.237,0.1607,0.0,0.0,2371.715
Mar'16,5710.17,5602.64,107.53,4556.81,3170.6,341.28,21.38,202.4,0.0,475.67,0.0,345.48,1153.36,256.89,1410.25,0.39,0.0,1409.86,76.1,1333.76,384.43,0.0,949.33,0.0,0.0,0.0,949.33,289.37,10.0,0.0,32.81,32.8,0.20199999999999999,0.2469,0.1663,0.0,0.0,2118.458
Dec'15,5547.83,5446.13,101.7,4376.2,3383.43,345.26,-32.92,229.91,0.0,454.18,0.0,-3.66,1171.63,242.46,1414.09,0.21,0.0,1413.88,74.64,1339.24,368.63,0.0,970.61,0.0,0.0,0.0,970.61,289.37,10.0,0.0,33.54,33.5,0.1991,0.2403,0.165,0.0,0.0,1920.779
Sep'15,6079.92,5962.77,117.15,4763.21,3758.4,319.18,-22.5,241.4,0.0,470.98,0.0,-4.25,1316.71,267.98,1584.69,0.34,0.0,1584.35,78.01,1506.34,453.97,0.0,1052.37,0.0,0.0,0.0,1052.37,289.37,10.0,0.0,36.37,36.4,0.2055,0.2473,0.1642,0.5071,0.0006,2010.8670000000002
Jun'15,5599.28,5490.85,108.43,4459.04,3404.58,270.68,97.49,243.41,0.0,446.79,0.0,-3.91,1140.24,306.26,1446.5,0.11,0.0,1446.39,78.41,1367.98,410.62,0.0,957.36,0.0,0.0,0.0,957.36,289.37,10.0,0.0,33.08,33.1,0.1939,0.2459,0.1628,0.5076,0.0006,1973.4460000000001
Mar'15,4739.34,4623.7,115.64,3901.53,3014.54,301.68,-118.67,258.57,0.0,463.48,0.0,-18.07,837.81,154.27,992.08,6.26,0.0,985.82,63.81,922.01,300.39,0.0,621.62,0.0,0.0,0.0,621.62,289.37,10.0,0.0,21.48,21.5,0.1674,0.1969,0.1242,0.5076,0.0,1764.443
Dec'14,5657.17,5520.01,137.16,4430.34,3537.24,317.74,7.0,213.92,0.0,288.84,0.0,65.6,1226.83,95.27,1322.1,0.07,0.0,1322.03,65.77,1256.26,395.02,0.0,861.24,0.0,0.0,0.0,861.24,289.37,10.0,0.0,29.76,29.8,0.209,0.2252,0.1467,0.4998,0.0006,1790.979
Sep'14,5963.09,5826.85,136.24,4836.31,3837.9,290.33,-18.18,210.24,0.0,464.58,0.0,51.44,1126.78,113.61,1240.39,0.05,-340.29,900.05,68.62,831.43,240.53,0.0,590.9,0.0,0.0,0.0,590.9,289.37,10.0,0.0,20.42,20.4,0.182,0.1454,0.0955,0.4998,0.0006,2027.1129999999998
