,Total Operating income,Net Sales,Other Operating Income,Total Expenditure (Excl Depreciation),Raw Material Cost,Purchase of Finished goods,(Increase) / Decrease In Stocks,Employee Cost,Power Cost,Manufacturing Expenses,Selling and Distribution Expenses,Other Expenses,Operating Profit (PBDIT) excl Other Income,Other Income,Operating Profit (PBDIT),Interest,Exceptional Items,Gross Profit (PBDT),Depreciation,Profit Before Tax,Tax,Provisions and contingencies,Profit After Tax,Extraordinary Items,Prior Period Expenses,Other Adjustments,Net Profit,Equity Capital,Face Value (IN RS),Reserves,Earnings per share (EPS),Diluted Earnings per share,Operating Profit Margin (Excl OI),Gross Profit Margin,PAT Margin,Public Share Holdings (%),Pledged Promotor Holding (%),Stock Price
Jun'22,4806.15,11036.02,-6229.87,4516.44,0,0,0,477.76,0,3428.27,163.27,447.14,289.71,11.14,300.85,0,0,300.85,0,300.85,38,0,262.85,0,0,0,262.85,1000.48,10,10687.92,2.63,2.63,0.0263,0.0273,0.0238,0,0,1244.503
Mar'22,20671.48,17433.77,3237.71,20941.02,0,0,0,482.17,0,18970.67,211.34,1276.84,-269.54,994.67,725.13,0,0,725.13,0,725.13,52.98,0,672.15,0,0,0,672.15,1000.37,10,10418.07,6.72,6.71,-0.0155,0.0416,0.0386,0,0,1105.967
Dec'21,20671.96,18025.34,2646.62,20271.82,0,0,0,482.94,0,19220.45,202.84,365.59,400.14,9.62,409.76,0,0,409.76,0,409.76,45.7,0,364.06,0,0,0,364.06,1000.28,10,9940.24,3.64,3.64,0.0222,0.0227,0.0202,0,0,1145.265
Sep'21,25635.71,14660.64,10975.07,25363.76,0,0,0,464.11,0,24230.54,183.2,485.91,271.95,10.55,282.5,0,0,282.5,0,282.5,35.88,0,246.62,0,0,0,246.62,1000.21,10,9571.45,2.47,2.47,0.0185,0.0193,0.0168,0,0,1171.01
Jun'21,16004.15,8312.55,7691.6,15752.09,0,0,0,387.15,0,14838.32,144.59,382.03,252.06,17.47,269.53,0,0,269.53,0,269.53,46.37,0,223.16,0,0,0,223.16,1000.15,10,9320.21,2.23,2.23,0.0303,0.0324,0.0268,0,0,1130.406
Mar'21,20289.05,15555.74,4733.31,20623.72,0,0,0,371.23,0,19698.52,186.08,367.89,-334.67,836.57,501.9,0,0,501.9,0,501.91,-30.47,0,532.38,0,0,0,532.38,1000.07,10,9092.64,5.32,5.32,-0.0215,0.0323,0.0342,0,0,959.42
Dec'20,26717.85,13766.49,12951.36,26431.94,0,0,0,398.44,0,25420.01,175.77,437.72,285.91,10.1,296.01,0,0,296.01,0,296.01,63.16,0,232.85,0,0,0,232.85,1000.06,10,8809.4,2.33,2.33,0.0208,0.0215,0.0169,0,0,888.6562
Sep'20,18640.11,12857.95,5782.16,18436.52,0,0,0,367.62,0,17390.04,155.54,523.32,203.59,11.52,215.11,0,0,215.11,0,215.11,-84.62,0,299.73,0,0,0,299.73,1000.05,10,8575.91,3,3,0.0158,0.0167,0.0233,0,0,826.4161
Jun'20,16265.77,7588.09,8677.68,15647.49,0,0,0,353.69,0,14770.16,126.08,397.56,618.28,8.72,627,0,0,627,0,627,236.11,0,390.89,0,0,0,390.89,1000.04,10,8275.57,3.91,3.91,0.0815,0.0826,0.0515,0,0,848.8905
Mar'20,5174.31,11862.98,-6688.67,5078.17,0,0,0,369.46,0,4008.21,156.46,544.04,96.14,491.2,587.34,0,0,587.34,0,587.34,56.67,0,530.67,0,0,0,530.67,1000.03,10,7883.89,5.31,5.3,0.0081,0.0495,0.0447,0,0,737.0772
Dec'19,15941.81,11694.51,4247.3,15485.58,0,0,0,363.61,0,14288.45,153.39,680.13,456.23,12.85,469.08,0,0,469.08,0,469.08,79.31,0,389.77,0,0,0,389.77,1000,10,7351.96,3.9,3.9,0.039,0.0401,0.0333,0,0,871.7378
Sep'19,12877.86,10111.51,2766.35,12711.68,0,0,0,333.72,0,11565.84,131.98,680.14,166.18,11.92,178.1,0,0,178.1,0,178.1,48.26,0,129.84,0,0,0,129.84,1000,10,6961.92,1.3,1.3,0.0164,0.0176,0.0128,0,0,944.7237
Jun'19,9803.54,6655.02,3148.52,9438.57,0,0,0,294.6,0,8559.53,111.35,473.09,364.97,12.87,377.84,0,0,377.84,0,377.84,5.94,0,371.9,0,0,0,371.9,1000,10,6832.04,3.72,3.72,0.0548,0.0568,0.0559,0,0,792.4011
Mar'19,15619.71,11333.02,4286.69,15257.91,0,0,0,346.85,0,14656.25,139.45,115.36,361.8,120.14,481.94,0,0,481.94,0,481.94,24.26,0,457.68,0,0,0,457.68,1000,10,6460.14,4.58,4.58,0.0319,0.0425,0.0404,0,0,655.39
Dec'18,12269.21,9141.26,3127.95,12014.17,0,0,0,299.81,0,11044.49,121.43,548.44,255.04,16.23,271.27,0,0,271.27,0,271.27,6.99,0,264.28,0,0,0,264.28,1000,10,6243.58,2.64,2.64,0.0279,0.0297,0.0289,0,0,595.0836
Sep'18,9741.38,7661.55,2079.83,9504.78,0,0,0,297.88,0,8679.33,105.77,421.8,236.6,19.81,256.41,0,0,256.41,0,256.41,5.88,0,250.53,0,0,0,250.53,1000,10,5979.3,2.51,2.51,0.0309,0.0335,0.0327,0,0,564.03
Jun'18,4754.52,4754.52,0,6475.35,0,0,0,292.65,0,5904.35,195.89,82.46,-1720.83,2238.87,518.04,0,0,518.04,0,518.04,163.73,0,354.31,0,0,0,354.31,1000,10,5728.77,3.54,3.54,-0.3619,0.109,0.0745,0,0,650.5363
Mar'18,9236.7,9236.7,0,9651.63,0,0,0,244.6,0,8913.67,375.94,117.42,-414.93,856.58,441.65,0,0,441.65,0,441.65,60.44,0,381.21,0,0,0,381.21,1000,10,5374.46,3.81,3.81,-0.0449,0.0478,0.0413,0,0,690.3354
Dec'17,6776.21,6776.21,0,9439.34,0,0,0,241.3,0,8801.51,312.38,84.15,-2663.13,2930.78,267.65,0,0,267.65,0,267.65,37.37,0,230.28,0,0,0,230.28,1000,10,5233.97,2.3,2.3,-0.393,0.0395,0.034,0,0,680.336
Sep'17,5384.57,5384.57,0,7580.14,0,0,0,246.48,0,6971.99,267.41,94.26,-2195.57,2464.99,269.42,0,0,269.42,0,269.42,43.95,0,225.47,0,0,0,225.47,1000,10,5003.69,2.25,2.25,-0.4078,0.05,0.0419,0,0,665.8247
